"index","parent","subba","time","start","end","start_act","end_act","start_match","end_match","n_obs","na","type","update","success","comments"
7,"CISO","SCE",2024-02-25 09:04:04.926201,2024-02-24 09:00:00,2024-02-24 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
7,"CISO","SDGE",2024-02-25 09:04:04.927618,2024-02-24 09:00:00,2024-02-24 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
7,"CISO","VEA",2024-02-25 09:04:04.928954,2024-02-24 09:00:00,2024-02-24 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
8,"CISO","PGAE",2024-02-25 10:04:01.416446,2024-02-24 09:00:00,2024-02-24 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
8,"CISO","SCE",2024-02-25 10:04:01.418075,2024-02-24 09:00:00,2024-02-24 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
8,"CISO","SDGE",2024-02-25 10:04:01.419419,2024-02-24 09:00:00,2024-02-24 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
8,"CISO","VEA",2024-02-25 10:04:01.42071,2024-02-24 09:00:00,2024-02-24 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
9,"CISO","PGAE",2024-02-25 11:04:34.503771,2024-02-24 09:00:00,2024-02-24 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
9,"CISO","SCE",2024-02-25 11:04:34.506697,2024-02-24 09:00:00,2024-02-24 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
9,"CISO","SDGE",2024-02-25 11:04:34.50892,2024-02-24 09:00:00,2024-02-24 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
9,"CISO","VEA",2024-02-25 11:04:34.511131,2024-02-24 09:00:00,2024-02-24 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
10,"CISO","PGAE",2024-02-25 12:05:18.674089,2024-02-24 09:00:00,2024-02-24 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
10,"CISO","SCE",2024-02-25 12:05:18.676337,2024-02-24 09:00:00,2024-02-24 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
10,"CISO","SDGE",2024-02-25 12:05:18.678216,2024-02-24 09:00:00,2024-02-24 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
10,"CISO","VEA",2024-02-25 12:05:18.679818,2024-02-24 09:00:00,2024-02-24 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
11,"CISO","PGAE",2024-02-25 13:04:15.26372,2024-02-24 09:00:00,2024-02-24 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
11,"CISO","SCE",2024-02-25 13:04:15.265386,2024-02-24 09:00:00,2024-02-24 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
11,"CISO","SDGE",2024-02-25 13:04:15.266791,2024-02-24 09:00:00,2024-02-24 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
11,"CISO","VEA",2024-02-25 13:04:15.268129,2024-02-24 09:00:00,2024-02-24 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
12,"CISO","PGAE",2024-02-25 14:04:07.12112,2024-02-24 09:00:00,2024-02-24 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
12,"CISO","SCE",2024-02-25 14:04:07.12274,2024-02-24 09:00:00,2024-02-24 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
12,"CISO","SDGE",2024-02-25 14:04:07.124072,2024-02-24 09:00:00,2024-02-24 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
12,"CISO","VEA",2024-02-25 14:04:07.125329,2024-02-24 09:00:00,2024-02-24 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
13,"CISO","PGAE",2024-02-25 15:07:37.130243,2024-02-24 09:00:00,2024-02-25 08:00:00,2024-02-24 09:00:00,2024-02-25 08:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
13,"CISO","SCE",2024-02-25 15:07:39.035724,2024-02-24 09:00:00,2024-02-25 08:00:00,2024-02-24 09:00:00,2024-02-25 08:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
13,"CISO","SDGE",2024-02-25 15:07:40.968679,2024-02-24 09:00:00,2024-02-25 08:00:00,2024-02-24 09:00:00,2024-02-25 08:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
13,"CISO","VEA",2024-02-25 15:07:42.899167,2024-02-24 09:00:00,2024-02-25 08:00:00,2024-02-24 09:00:00,2024-02-25 08:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
14,"CISO","PGAE",2024-02-25 16:04:05.371605,2024-02-25 09:00:00,2024-02-25 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
14,"CISO","SCE",2024-02-25 16:04:05.373228,2024-02-25 09:00:00,2024-02-25 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
14,"CISO","SDGE",2024-02-25 16:04:05.374568,2024-02-25 09:00:00,2024-02-25 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
14,"CISO","VEA",2024-02-25 16:04:05.375869,2024-02-25 09:00:00,2024-02-25 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
15,"CISO","PGAE",2024-02-25 17:04:17.553129,2024-02-25 09:00:00,2024-02-25 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
15,"CISO","SCE",2024-02-25 17:04:17.554908,2024-02-25 09:00:00,2024-02-25 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
15,"CISO","SDGE",2024-02-25 17:04:17.556393,2024-02-25 09:00:00,2024-02-25 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
15,"CISO","VEA",2024-02-25 17:04:17.557762,2024-02-25 09:00:00,2024-02-25 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
16,"CISO","PGAE",2024-02-25 18:04:18.105435,2024-02-25 09:00:00,2024-02-25 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
16,"CISO","SCE",2024-02-25 18:04:18.107119,2024-02-25 09:00:00,2024-02-25 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
16,"CISO","SDGE",2024-02-25 18:04:18.108464,2024-02-25 09:00:00,2024-02-25 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
16,"CISO","VEA",2024-02-25 18:04:18.109738,2024-02-25 09:00:00,2024-02-25 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
17,"CISO","PGAE",2024-02-25 19:03:48.799315,2024-02-25 09:00:00,2024-02-25 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
17,"CISO","SCE",2024-02-25 19:03:48.801116,2024-02-25 09:00:00,2024-02-25 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
17,"CISO","SDGE",2024-02-25 19:03:48.802623,2024-02-25 09:00:00,2024-02-25 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
17,"CISO","VEA",2024-02-25 19:03:48.804007,2024-02-25 09:00:00,2024-02-25 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
18,"CISO","PGAE",2024-02-25 20:03:56.363558,2024-02-25 09:00:00,2024-02-25 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
18,"CISO","SCE",2024-02-25 20:03:56.365304,2024-02-25 09:00:00,2024-02-25 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
18,"CISO","SDGE",2024-02-25 20:03:56.366745,2024-02-25 09:00:00,2024-02-25 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
18,"CISO","VEA",2024-02-25 20:03:56.368099,2024-02-25 09:00:00,2024-02-25 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
19,"CISO","PGAE",2024-02-25 21:04:08.883555,2024-02-25 09:00:00,2024-02-25 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
19,"CISO","SCE",2024-02-25 21:04:08.885559,2024-02-25 09:00:00,2024-02-25 08:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; The data refresh failed, please check the log;"
